"movieid","title","released_year","title_released_year","genres"
77846,"12 Angry Men",1997,"12 Angry Men (1997)","Drama"
141816,"12 Chairs",1976,"12 Chairs (1976)","Adventure"
141816,"12 Chairs",1976,"12 Chairs (1976)","Comedy"
141844,"12 Chairs",1971,"12 Chairs (1971)","Adventure"
141844,"12 Chairs",1971,"12 Chairs (1971)","Comedy"
70361,"12 Rounds",2009,"12 Rounds (2009)","Action"
70361,"12 Rounds",2009,"12 Rounds (2009)","Thriller"
105844,"12 Years a Slave",2013,"12 Years a Slave (2013)","Drama"
86142,"13 Assassins (Jûsan-nin no shikaku)",2010,"13 Assassins (Jûsan-nin no shikaku) (2010)","Action"
4792,"13 Ghosts",1960,"13 Ghosts (1960)","Horror"
7444,"13 Going on 30",2004,"13 Going on 30 (2004)","Comedy"
7444,"13 Going on 30",2004,"13 Going on 30 (2004)","Fantasy"
7444,"13 Going on 30",2004,"13 Going on 30 (2004)","Romance"
138210,"13 Hours",2016,"13 Hours (2016)","Drama"
110286,"13 Sins",2014,"13 Sins (2014)","Horror"
110286,"13 Sins",2014,"13 Sins (2014)","Thriller"
164917,"13th",2016,"13th (2016)","Documentary"
48872,"13 Tzameti",2005,"13 Tzameti (2005)","Film-Noir"
48872,"13 Tzameti",2005,"13 Tzameti (2005)","Thriller"
53953,"1408",2007,"1408 (2007)","Drama"
53953,"1408",2007,"1408 (2007)","Horror"
53953,"1408",2007,"1408 (2007)","Thriller"
8905,"1492: Conquest of Paradise",1992,"1492: Conquest of Paradise (1992)","Adventure"
8905,"1492: Conquest of Paradise",1992,"1492: Conquest of Paradise (1992)","Drama"
4167,"15 Minutes",2001,"15 Minutes (2001)","Thriller"
43936,"16 Blocks",2006,"16 Blocks (2006)","Crime"
43936,"16 Blocks",2006,"16 Blocks (2006)","Thriller"
5472,"1776",1972,"1776 (1972)","Children"
5472,"1776",1972,"1776 (1972)","Drama"
5472,"1776",1972,"1776 (1972)","Musical"
68135,"17 Again",2009,"17 Again (2009)","Comedy"
68135,"17 Again",2009,"17 Again (2009)","Drama"
1609,"187 (One Eight Seven)",1997,"187 (One Eight Seven) (1997)","Drama"
1609,"187 (One Eight Seven)",1997,"187 (One Eight Seven) (1997)","Thriller"
4462,"18 Again!",1988,"18 Again! (1988)","Comedy"
4462,"18 Again!",1988,"18 Again! (1988)","Fantasy"
889,"1-900 (06)",1994,"1-900 (06) (1994)","Drama"
889,"1-900 (06)",1994,"1-900 (06) (1994)","Romance"
26359,"1900 (Novecento)",1976,"1900 (Novecento) (1976)","Drama"
26359,"1900 (Novecento)",1976,"1900 (Novecento) (1976)","War"
7104,"1941",1979,"1941 (1979)","Comedy"
7104,"1941",1979,"1941 (1979)","War"
4463,"1969",1988,"1969 (1988)","Drama"
4463,"1969",1988,"1969 (1988)","War"
2117,"1984 (Nineteen Eighty-Four)",1984,"1984 (Nineteen Eighty-Four) (1984)","Drama"
2117,"1984 (Nineteen Eighty-Four)",1984,"1984 (Nineteen Eighty-Four) (1984)","Sci-Fi"
114066,"20,000 Days on Earth",2014,"20,000 Days on Earth (2014)","Documentary"
114066,"20,000 Days on Earth",2014,"20,000 Days on Earth (2014)","Drama"
114066,"20,000 Days on Earth",2014,"20,000 Days on Earth (2014)","Musical"
1019,"20,000 Leagues Under the Sea",1954,"20,000 Leagues Under the Sea (1954)","Adventure"
1019,"20,000 Leagues Under the Sea",1954,"20,000 Leagues Under the Sea (1954)","Drama"
1019,"20,000 Leagues Under the Sea",1954,"20,000 Leagues Under the Sea (1954)","Sci-Fi"
62383,"20,000 Leagues Under the Sea",1916,"20,000 Leagues Under the Sea (1916)","Action"
62383,"20,000 Leagues Under the Sea",1916,"20,000 Leagues Under the Sea (1916)","Adventure"
62383,"20,000 Leagues Under the Sea",1916,"20,000 Leagues Under the Sea (1916)","Sci-Fi"
924,"2001: A Space Odyssey",1968,"2001: A Space Odyssey (1968)","Adventure"
924,"2001: A Space Odyssey",1968,"2001: A Space Odyssey (1968)","Drama"
924,"2001: A Space Odyssey",1968,"2001: A Space Odyssey (1968)","Sci-Fi"
51498,"2001 Maniacs",2005,"2001 Maniacs (2005)","Comedy"
51498,"2001 Maniacs",2005,"2001 Maniacs (2005)","Horror"
2504,"200 Cigarettes",1999,"200 Cigarettes (1999)","Comedy"
2504,"200 Cigarettes",1999,"200 Cigarettes (1999)","Drama"
2311,"2010: The Year We Make Contact",1984,"2010: The Year We Make Contact (1984)","Sci-Fi"
72378,"2012",2009,"2012 (2009)","Action"
72378,"2012",2009,"2012 (2009)","Drama"
72378,"2012",2009,"2012 (2009)","Sci-Fi"
72378,"2012",2009,"2012 (2009)","Thriller"
27266,"2046",2004,"2046 (2004)","Drama"
27266,"2046",2004,"2046 (2004)","Fantasy"
27266,"2046",2004,"2046 (2004)","Romance"
27266,"2046",2004,"2046 (2004)","Sci-Fi"
179053,"2048: Nowhere to Run",2017,"2048: Nowhere to Run (2017)","Sci-Fi"
179053,"2048: Nowhere to Run",2017,"2048: Nowhere to Run (2017)","Thriller"
2492,"20 Dates",1998,"20 Dates (1998)","Comedy"
2492,"20 Dates",1998,"20 Dates (1998)","Romance"
103107,"20 Feet from Stardom (Twenty Feet from Stardom)",2013,"20 Feet from Stardom (Twenty Feet from Stardom) (2013)","Documentary"
5468,"20 Million Miles to Earth",1957,"20 Million Miles to Earth (1957)","Sci-Fi"
58803,"21",2008,"21 (2008)","Crime"
58803,"21",2008,"21 (2008)","Drama"
58803,"21",2008,"21 (2008)","Romance"
58803,"21",2008,"21 (2008)","Thriller"
100507,"21 and Over",2013,"21 and Over (2013)","Comedy"
6953,"21 Grams",2003,"21 Grams (2003)","Crime"
6953,"21 Grams",2003,"21 Grams (2003)","Drama"
6953,"21 Grams",2003,"21 Grams (2003)","Mystery"
6953,"21 Grams",2003,"21 Grams (2003)","Romance"
6953,"21 Grams",2003,"21 Grams (2003)","Thriller"
93510,"21 Jump Street",2012,"21 Jump Street (2012)","Action"
93510,"21 Jump Street",2012,"21 Jump Street (2012)","Comedy"
93510,"21 Jump Street",2012,"21 Jump Street (2012)","Crime"
52767,"21 Up",1977,"21 Up (1977)","Documentary"
112138,"22 Jump Street",2014,"22 Jump Street (2014)","Action"
112138,"22 Jump Street",2014,"22 Jump Street (2014)","Comedy"
112138,"22 Jump Street",2014,"22 Jump Street (2014)","Crime"
5508,"24 Hour Party People",2002,"24 Hour Party People (2002)","Comedy"
5508,"24 Hour Party People",2002,"24 Hour Party People (2002)","Drama"
5508,"24 Hour Party People",2002,"24 Hour Party People (2002)","Musical"
5954,"25th Hour",2002,"25th Hour (2002)","Crime"
5954,"25th Hour",2002,"25th Hour (2002)","Drama"
56949,"27 Dresses",2008,"27 Dresses (2008)","Comedy"
56949,"27 Dresses",2008,"27 Dresses (2008)","Romance"
3534,"28 Days",2000,"28 Days (2000)","Drama"
6502,"28 Days Later",2002,"28 Days Later (2002)","Action"
6502,"28 Days Later",2002,"28 Days Later (2002)","Horror"
6502,"28 Days Later",2002,"28 Days Later (2002)","Sci-Fi"
7566,"28 Up",1985,"28 Up (1985)","Documentary"
53000,"28 Weeks Later",2007,"28 Weeks Later (2007)","Horror"
53000,"28 Weeks Later",2007,"28 Weeks Later (2007)","Sci-Fi"
53000,"28 Weeks Later",2007,"28 Weeks Later (2007)","Thriller"
95744,"2 Days in New York",2012,"2 Days in New York (2012)","Comedy"
54796,"2 Days in Paris",2007,"2 Days in Paris (2007)","Comedy"
54796,"2 Days in Paris",2007,"2 Days in Paris (2007)","Drama"
54796,"2 Days in Paris",2007,"2 Days in Paris (2007)","Romance"
999,"2 Days in the Valley",1996,"2 Days in the Valley (1996)","Crime"
999,"2 Days in the Valley",1996,"2 Days in the Valley (1996)","Film-Noir"
6383,"2 Fast 2 Furious (Fast and the Furious 2, The)",2003,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","Action"
6383,"2 Fast 2 Furious (Fast and the Furious 2, The)",2003,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","Crime"
6383,"2 Fast 2 Furious (Fast and the Furious 2, The)",2003,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","Thriller"
103883,"2 Guns",2013,"2 Guns (2013)","Action"
103883,"2 Guns",2013,"2 Guns (2013)","Comedy"
103883,"2 Guns",2013,"2 Guns (2013)","Crime"
51662,"300",2007,"300 (2007)","Action"
51662,"300",2007,"300 (2007)","Fantasy"
51662,"300",2007,"300 (2007)","IMAX"
51662,"300",2007,"300 (2007)","War"
4159,"3000 Miles to Graceland",2001,"3000 Miles to Graceland (2001)","Action"
4159,"3000 Miles to Graceland",2001,"3000 Miles to Graceland (2001)","Thriller"
109673,"300: Rise of an Empire",2014,"300: Rise of an Empire (2014)","Action"
109673,"300: Rise of an Empire",2014,"300: Rise of an Empire (2014)","Drama"
109673,"300: Rise of an Empire",2014,"300: Rise of an Empire (2014)","IMAX"
109673,"300: Rise of an Empire",2014,"300: Rise of an Empire (2014)","War"
55282,"30 Days of Night",2007,"30 Days of Night (2007)","Horror"
55282,"30 Days of Night",2007,"30 Days of Night (2007)","Thriller"
88812,"30 Minutes or Less",2011,"30 Minutes or Less (2011)","Action"
88812,"30 Minutes or Less",2011,"30 Minutes or Less (2011)","Comedy"
88812,"30 Minutes or Less",2011,"30 Minutes or Less (2011)","Crime"
163981,"31",2016,"31 (2016)","Horror"
5300,"3:10 to Yuma",1957,"3:10 to Yuma (1957)","Action"
5300,"3:10 to Yuma",1957,"3:10 to Yuma (1957)","Adventure"
5300,"3:10 to Yuma",1957,"3:10 to Yuma (1957)","Drama"
5300,"3:10 to Yuma",1957,"3:10 to Yuma (1957)","Thriller"
5300,"3:10 to Yuma",1957,"3:10 to Yuma (1957)","Western"
54997,"3:10 to Yuma",2007,"3:10 to Yuma (2007)","Action"
54997,"3:10 to Yuma",2007,"3:10 to Yuma (2007)","Crime"
54997,"3:10 to Yuma",2007,"3:10 to Yuma (2007)","Drama"
54997,"3:10 to Yuma",2007,"3:10 to Yuma (2007)","Western"
26712,"35 Up",1991,"35 Up (1991)","Documentary"
109569,"3 Days to Kill",2014,"3 Days to Kill (2014)","Action"
109569,"3 Days to Kill",2014,"3 Days to Kill (2014)","Crime"
109569,"3 Days to Kill",2014,"3 Days to Kill (2014)","Drama"
104017,"3 dev adam (Three Giant Men) ",1973,"3 dev adam (Three Giant Men)  (1973)","Action"
104017,"3 dev adam (Three Giant Men) ",1973,"3 dev adam (Three Giant Men)  (1973)","Adventure"
104017,"3 dev adam (Three Giant Men) ",1973,"3 dev adam (Three Giant Men)  (1973)","Sci-Fi"
33896,"3 Extremes (Three... Extremes) (Saam gaang yi)",2004,"3 Extremes (Three... Extremes) (Saam gaang yi) (2004)","Horror"
73881,"3 Idiots",2009,"3 Idiots (2009)","Comedy"
73881,"3 Idiots",2009,"3 Idiots (2009)","Drama"
73881,"3 Idiots",2009,"3 Idiots (2009)","Romance"
30803,"3-Iron (Bin-jip)",2004,"3-Iron (Bin-jip) (2004)","Drama"
30803,"3-Iron (Bin-jip)",2004,"3-Iron (Bin-jip) (2004)","Romance"
4748,"3 Ninjas",1992,"3 Ninjas (1992)","Action"
4748,"3 Ninjas",1992,"3 Ninjas (1992)","Children"
4748,"3 Ninjas",1992,"3 Ninjas (1992)","Comedy"
1739,"3 Ninjas: High Noon On Mega Mountain",1998,"3 Ninjas: High Noon On Mega Mountain (1998)","Action"
1739,"3 Ninjas: High Noon On Mega Mountain",1998,"3 Ninjas: High Noon On Mega Mountain (1998)","Children"
1739,"3 Ninjas: High Noon On Mega Mountain",1998,"3 Ninjas: High Noon On Mega Mountain (1998)","Comedy"
4749,"3 Ninjas Kick Back",1994,"3 Ninjas Kick Back (1994)","Action"
4749,"3 Ninjas Kick Back",1994,"3 Ninjas Kick Back (1994)","Children"
4749,"3 Ninjas Kick Back",1994,"3 Ninjas Kick Back (1994)","Comedy"
4750,"3 Ninjas Knuckle Up",1995,"3 Ninjas Knuckle Up (1995)","Action"
4750,"3 Ninjas Knuckle Up",1995,"3 Ninjas Knuckle Up (1995)","Children"
8261,"3 Women (Three Women)",1977,"3 Women (Three Women) (1977)","Drama"
5151,"40 Days and 40 Nights",2002,"40 Days and 40 Nights (2002)","Comedy"
5151,"40 Days and 40 Nights",2002,"40 Days and 40 Nights (2002)","Romance"
101895,"42",2013,"42 (2013)","Drama"
7080,"42nd Street",1933,"42nd Street (1933)","Drama"
7080,"42nd Street",1933,"42nd Street (1933)","Musical"
7080,"42nd Street",1933,"42nd Street (1933)","Romance"
3077,"42 Up",1998,"42 Up (1998)","Documentary"
106491,"47 Ronin",2013,"47 Ronin (2013)","Action"
106491,"47 Ronin",2013,"47 Ronin (2013)","Adventure"
106491,"47 Ronin",2013,"47 Ronin (2013)","Fantasy"
5049,"48 Hrs.",1982,"48 Hrs. (1982)","Action"
5049,"48 Hrs.",1982,"48 Hrs. (1982)","Comedy"
5049,"48 Hrs.",1982,"48 Hrs. (1982)","Crime"
5049,"48 Hrs.",1982,"48 Hrs. (1982)","Drama"
50658,"49 Up",2005,"49 Up (2005)","Documentary"
4217,"4 Little Girls",1997,"4 Little Girls (1997)","Documentary"
55069,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile)",2007,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)","Drama"
69757,"(500) Days of Summer",2009,"(500) Days of Summer (2009)","Comedy"
69757,"(500) Days of Summer",2009,"(500) Days of Summer (2009)","Drama"
69757,"(500) Days of Summer",2009,"(500) Days of Summer (2009)","Romance"
89864,"50/50",2011,"50/50 (2011)","Comedy"
89864,"50/50",2011,"50/50 (2011)","Drama"
7293,"50 First Dates",2004,"50 First Dates (2004)","Comedy"
7293,"50 First Dates",2004,"50 First Dates (2004)","Romance"
2475,"52 Pick-Up",1986,"52 Pick-Up (1986)","Action"
2475,"52 Pick-Up",1986,"52 Pick-Up (1986)","Mystery"
2475,"52 Pick-Up",1986,"52 Pick-Up (1986)","Thriller"
2188,"54",1998,"54 (1998)","Drama"
64993,"5 Centimeters per Second (Byôsoku 5 senchimêtoru)",2007,"5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)","Animation"
64993,"5 Centimeters per Second (Byôsoku 5 senchimêtoru)",2007,"5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)","Drama"
64993,"5 Centimeters per Second (Byôsoku 5 senchimêtoru)",2007,"5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)","Romance"
134021,"5 to 7",2014,"5 to 7 (2014)","Comedy"
134021,"5 to 7",2014,"5 to 7 (2014)","Drama"
134021,"5 to 7",2014,"5 to 7 (2014)","Romance"
27373,"61*",2001,"61* (2001)","Drama"
96411,"6 Days to Air: The Making of South Park",2011,"6 Days to Air: The Making of South Park (2011)","Documentary"
117867,"'71",2014,"'71 (2014)","Action"
117867,"'71",2014,"'71 (2014)","Drama"
117867,"'71",2014,"'71 (2014)","Thriller"
117867,"'71",2014,"'71 (2014)","War"
138204,"7 Days in Hell",2015,"7 Days in Hell (2015)","Comedy"
42556,"7 Faces of Dr. Lao",1964,"7 Faces of Dr. Lao (1964)","Fantasy"
42556,"7 Faces of Dr. Lao",1964,"7 Faces of Dr. Lao (1964)","Mystery"
42556,"7 Faces of Dr. Lao",1964,"7 Faces of Dr. Lao (1964)","Western"
32392,"800 Bullets (800 Balas)",2002,"800 Bullets (800 Balas) (2002)","Comedy"
32392,"800 Bullets (800 Balas)",2002,"800 Bullets (800 Balas) (2002)","Crime"
32392,"800 Bullets (800 Balas)",2002,"800 Bullets (800 Balas) (2002)","Drama"
32392,"800 Bullets (800 Balas)",2002,"800 Bullets (800 Balas) (2002)","Western"
3626,"8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women)",1999,"8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)","Comedy"
1251,"8 1/2 (8½)",1963,"8 1/2 (8½) (1963)","Drama"
1251,"8 1/2 (8½)",1963,"8 1/2 (8½) (1963)","Fantasy"
5404,"84 Charing Cross Road",1987,"84 Charing Cross Road (1987)","Drama"
5404,"84 Charing Cross Road",1987,"84 Charing Cross Road (1987)","Romance"
1503,"8 Heads in a Duffel Bag",1997,"8 Heads in a Duffel Bag (1997)","Comedy"
5810,"8 Mile",2002,"8 Mile (2002)","Drama"
2505,"8MM",1999,"8MM (1999)","Drama"
2505,"8MM",1999,"8MM (1999)","Mystery"
2505,"8MM",1999,"8MM (1999)","Thriller"
408,"8 Seconds",1994,"8 Seconds (1994)","Drama"
5613,"8 Women",2002,"8 Women (2002)","Comedy"
5613,"8 Women",2002,"8 Women (2002)","Crime"
5613,"8 Women",2002,"8 Women (2002)","Musical"
5613,"8 Women",2002,"8 Women (2002)","Mystery"
71057,"9",2009,"9 (2009)","Adventure"
71057,"9",2009,"9 (2009)","Animation"
71057,"9",2009,"9 (2009)","Sci-Fi"
44943,"9/11",2002,"9/11 (2002)","Documentary"
3707,"9 1/2 Weeks (Nine 1/2 Weeks)",1986,"9 1/2 Weeks (Nine 1/2 Weeks) (1986)","Drama"
3707,"9 1/2 Weeks (Nine 1/2 Weeks)",1986,"9 1/2 Weeks (Nine 1/2 Weeks) (1986)","Romance"
140852,"964 Pinocchio",1991,"964 Pinocchio (1991)","Horror"
140852,"964 Pinocchio",1991,"964 Pinocchio (1991)","Sci-Fi"
94494,"96 Minutes ",2011,"96 Minutes  (2011)","Drama"
94494,"96 Minutes ",2011,"96 Minutes  (2011)","Thriller"
59026,"99 francs",2007,"99 francs (2007)","Comedy"
69953,"9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn)",2008,"9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008)","Documentary"
179953,"A Bad Moms Christmas",2017,"A Bad Moms Christmas (2017)","Comedy"
3928,"Abbott and Costello Meet Frankenstein",1948,"Abbott and Costello Meet Frankenstein (1948)","Comedy"
3928,"Abbott and Costello Meet Frankenstein",1948,"Abbott and Costello Meet Frankenstein (1948)","Horror"
90524,"Abduction",2011,"Abduction (2011)","Action"
90524,"Abduction",2011,"Abduction (2011)","Drama"
90524,"Abduction",2011,"Abduction (2011)","Mystery"
90524,"Abduction",2011,"Abduction (2011)","Thriller"
4995,"A Beautiful Mind",2001,"A Beautiful Mind (2001)","Drama"
4995,"A Beautiful Mind",2001,"A Beautiful Mind (2001)","Romance"
26612,"A Better Tomorrow II (Ying hung boon sik II)",1987,"A Better Tomorrow II (Ying hung boon sik II) (1987)","Crime"
26612,"A Better Tomorrow II (Ying hung boon sik II)",1987,"A Better Tomorrow II (Ying hung boon sik II) (1987)","Drama"
26612,"A Better Tomorrow II (Ying hung boon sik II)",1987,"A Better Tomorrow II (Ying hung boon sik II) (1987)","Thriller"
26585,"A Better Tomorrow (Ying hung boon sik)",1986,"A Better Tomorrow (Ying hung boon sik) (1986)","Crime"
26585,"A Better Tomorrow (Ying hung boon sik)",1986,"A Better Tomorrow (Ying hung boon sik) (1986)","Drama"
26585,"A Better Tomorrow (Ying hung boon sik)",1986,"A Better Tomorrow (Ying hung boon sik) (1986)","Thriller"
38095,"A Bittersweet Life (Dalkomhan insaeng)",2005,"A Bittersweet Life (Dalkomhan insaeng) (2005)","Action"
38095,"A Bittersweet Life (Dalkomhan insaeng)",2005,"A Bittersweet Life (Dalkomhan insaeng) (2005)","Crime"
38095,"A Bittersweet Life (Dalkomhan insaeng)",2005,"A Bittersweet Life (Dalkomhan insaeng) (2005)","Drama"
5377,"About a Boy",2002,"About a Boy (2002)","Comedy"
5377,"About a Boy",2002,"About a Boy (2002)","Drama"
5377,"About a Boy",2002,"About a Boy (2002)","Romance"
3862,"About Adam",2000,"About Adam (2000)","Comedy"
109372,"About Last Night",2014,"About Last Night (2014)","Comedy"
109372,"About Last Night",2014,"About Last Night (2014)","Romance"
2262,"About Last Night...",1986,"About Last Night... (1986)","Comedy"
2262,"About Last Night...",1986,"About Last Night... (1986)","Drama"
2262,"About Last Night...",1986,"About Last Night... (1986)","Romance"
5945,"About Schmidt",2002,"About Schmidt (2002)","Comedy"
5945,"About Schmidt",2002,"About Schmidt (2002)","Drama"
104374,"About Time",2013,"About Time (2013)","Drama"
104374,"About Time",2013,"About Time (2013)","Fantasy"
104374,"About Time",2013,"About Time (2013)","Romance"
4466,"Above the Law",1988,"Above the Law (1988)","Action"
4466,"Above the Law",1988,"Above the Law (1988)","Crime"
4466,"Above the Law",1988,"Above the Law (1988)","Drama"
409,"Above the Rim",1994,"Above the Rim (1994)","Crime"
409,"Above the Rim",1994,"Above the Rim (1994)","Drama"
7236,"A Boy and His Dog",1975,"A Boy and His Dog (1975)","Sci-Fi"
95207,"Abraham Lincoln: Vampire Hunter",2012,"Abraham Lincoln: Vampire Hunter (2012)","Action"
95207,"Abraham Lincoln: Vampire Hunter",2012,"Abraham Lincoln: Vampire Hunter (2012)","Fantasy"
95207,"Abraham Lincoln: Vampire Hunter",2012,"Abraham Lincoln: Vampire Hunter (2012)","Horror"
95207,"Abraham Lincoln: Vampire Hunter",2012,"Abraham Lincoln: Vampire Hunter (2012)","Thriller"
7980,"A Bridge Too Far",1977,"A Bridge Too Far (1977)","Action"
7980,"A Bridge Too Far",1977,"A Bridge Too Far (1977)","Drama"
7980,"A Bridge Too Far",1977,"A Bridge Too Far (1977)","War"
6780,"A Brief History of Time",1991,"A Brief History of Time (1991)","Documentary"
428,"A Bronx Tale",1993,"A Bronx Tale (1993)","Drama"
5707,"Absence of Malice",1981,"Absence of Malice (1981)","Drama"
5707,"Absence of Malice",1981,"Absence of Malice (1981)","Romance"
93819,"Absentia",2011,"Absentia (2011)","Horror"
135885,"Absolutely Anything",2015,"Absolutely Anything (2015)","Comedy"
135885,"Absolutely Anything",2015,"Absolutely Anything (2015)","Sci-Fi"
1459,"Absolute Power",1997,"Absolute Power (1997)","Mystery"
1459,"Absolute Power",1997,"Absolute Power (1997)","Thriller"
7993,"A Bucket Of Blood",1959,"A Bucket Of Blood (1959)","Comedy"
7993,"A Bucket Of Blood",1959,"A Bucket Of Blood (1959)","Horror"
2355,"A Bug's Life",1998,"A Bug's Life (1998)","Adventure"
2355,"A Bug's Life",1998,"A Bug's Life (1998)","Animation"
2355,"A Bug's Life",1998,"A Bug's Life (1998)","Children"
2355,"A Bug's Life",1998,"A Bug's Life (1998)","Comedy"
47518,"Accepted",2006,"Accepted (2006)","Comedy"
3736,"Ace in the Hole (Big Carnival, The)",1951,"Ace in the Hole (Big Carnival, The) (1951)","Drama"
2817,"Aces: Iron Eagle III",1992,"Aces: Iron Eagle III (1992)","Action"
344,"Ace Ventura: Pet Detective",1994,"Ace Ventura: Pet Detective (1994)","Comedy"
19,"Ace Ventura: When Nature Calls",1995,"Ace Ventura: When Nature Calls (1995)","Comedy"
26133,"A Charlie Brown Christmas",1965,"A Charlie Brown Christmas (1965)","Animation"
26133,"A Charlie Brown Christmas",1965,"A Charlie Brown Christmas (1965)","Children"
26133,"A Charlie Brown Christmas",1965,"A Charlie Brown Christmas (1965)","Comedy"
26606,"A Chinese Ghost Story (Sinnui yauwan)",1987,"A Chinese Ghost Story (Sinnui yauwan) (1987)","Action"
26606,"A Chinese Ghost Story (Sinnui yauwan)",1987,"A Chinese Ghost Story (Sinnui yauwan) (1987)","Fantasy"
26606,"A Chinese Ghost Story (Sinnui yauwan)",1987,"A Chinese Ghost Story (Sinnui yauwan) (1987)","Horror"
26606,"A Chinese Ghost Story (Sinnui yauwan)",1987,"A Chinese Ghost Story (Sinnui yauwan) (1987)","Romance"
6345,"A Chorus Line",1985,"A Chorus Line (1985)","Comedy"
6345,"A Chorus Line",1985,"A Chorus Line (1985)","Drama"
6345,"A Chorus Line",1985,"A Chorus Line (1985)","Musical"
1099,"A Christmas Carol",1938,"A Christmas Carol (1938)","Children"
1099,"A Christmas Carol",1938,"A Christmas Carol (1938)","Drama"
1099,"A Christmas Carol",1938,"A Christmas Carol (1938)","Fantasy"
72294,"A Christmas Carol",2009,"A Christmas Carol (2009)","Animation"
72294,"A Christmas Carol",2009,"A Christmas Carol (2009)","Children"
